vulnerability_type,precision,recall
overall,0.2639593908629442,0.2374429223744292
access_control,0.23076923076923078,0.125
arithmetic,0.4090909090909091,0.391304347826087
bad_randomness,0.23076923076923078,0.17647058823529413
denial_of_service,0.25,0.21428571428571427
front_running,0.4,0.2857142857142857
other,0.25,0.2
reentrancy,0.09375,0.09375
short_addresses,0.0,0.0
time_manipulation,0.3333333333333333,0.2857142857142857
unchecked_low_level_calls,0.2987012987012987,0.3194444444444444
